Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1382,3,2025-03-27,LAD,,DET,W 5-4,CG,4,3,1,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,0.71,0.034,0.70,0.02%,0.22,7.00,9.20,2,SS
2,1383,4,2025-03-28,LAD,,DET,W 8-5 (10),CG(10),5,5,3,3,0,0,2,4,0,0,0,0,.500,.556,1.250,1.806,9,1,0,0,0,0,1.67,0.431,1.64,0.25%,2.21,37.00,50.60,2,SS
3,1384,6,2025-03-31,LAD,,ATL,W 6-1,CG,5,5,1,1,0,0,0,0,0,0,0,0,.385,.429,.846,1.275,1,0,0,0,0,0,0.43,-0.023,0.46,-0.02%,-0.74,5.00,6.20,2,SS
4,1385,7,2025-04-01,LAD,,ATL,W 3-1,CG,4,3,1,1,0,0,1,2,0,0,0,1,.375,.444,.938,1.382,4,0,1,0,0,0,0.99,0.291,1.08,0.19%,1.36,18.00,25.20,2,SS
